11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
20 medium cluster 4 or 5 passive rare, 20 craicic squid, 12 large cluster 12 passive rare, Full stack Society's Remorse, piece of time, 3x watcher's eye, omen of connections, taste of hate, kill farrul with only farrul uniques equipped, 20 maps 1000 int, 40 exotic coinage, 20 essence enslaver, kill kitava, 250 quant t17 80 deli unique bosses shrined kill esh, Full stack The King's Blade, poorjoy's asylum, triple nonnegative leadership's price, The Demon, dissolution of the flesh, 20 omen of refreshment, 134 Emperor's Luck, 5 tangled fossil, Delirious Scouting Report, 20 maps main skill tagged herald, sandstorm visage
Full stack The Jeweller's Boon, 250 quant t17 80 deli unique bosses shrined kill beidat, 50 tempering catalyst, 20 maps with brands main skill, double corrupted bloodseeker, 1 fracturing orbs, impossible escape, bottled faith, massive thread of hope, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, 11 The Scavenger, Full stack The Body, kill kitava, 13 The Skeleton, 20 maps main skill tagged prismatic, 250 quant t17 unique boss shrined and 4 ghosts, 3 forbidden shako, 20 omen of refreshment, Full stack Thunderous Skies, astramentis, tabula rasa, Full stack The Standoff, 40 primal incubator, Full stack Hunter's Resolve, the light of meaning
10 guff gloves veiled, 4 hour a10 any templar, crown of eyes, 20 maps with perma minions main skill, unique items from each warband, impossible escape, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, fury valve, melding of the flesh, lioneye's paws, paradoxica, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, kill kitava, 100 wings, 3 large cluster jewel 3 notable, every attribute amulet anointed, 20 small cluster jewel rare, 27 deafening fear, Full stack The Endurance, 40 singular incubator, 4 plume of pursuit, 1 each relic base type, 20 essence eradicator, synth stat stack mod, 1 of each temple resistance
piece of focus, 18 deafening torment, kill kitava with assassin, 12 large cluster 12 passive rare, 6 tainted fusing, Father's Love, 20 maps main skill tagged prismatic, 250 quant t17 80 deli unique bosses shrined kill xoph, lab unique, Otherworldly Scouting Report, 10 Regal Orb, 200 rolled currency t17 lt 50 remain, kill kitava, singularity, 10 6 mod abyss jewels, 7 hour act 10 new char, heist rogue gear in every slot of rogues, Full stack Cameria's Cut, 4 orb of conflict, 4 grasping mail, ashes of the stars, 40 foreboding incubator, 10 split personality, tabula rasa, 4 ghost 80 deli chimera
250 quant t17 80 deli unique bosses shrined kill uul netol, 10 darkness enthroned, Full stack The Trial, omen of connections, 200 tainted whetstone, doppelganger guise, void valdo, 5 elegant hubris, mark of the shaper and mark of the elder, Fenumus First of the Night, 8 mod t17, 4 abhorrent interrogation, kill kitava, rakiata's dance, lioneye's vision, 11 Dying Anguish, spell damage or crit multi corrupt divinarius, cospri's will, 10 bindings, 20 maps main skill tagged golem, 1 any blueprint exclusive non replica unique, Full stack The Harvester, 20 maps with temp minions main skill, 5 tangled fossil, 10 simulacrum
mark of the shaper and mark of the elder, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, 20 tempering orbs, kill kitava with saboteur, 20 maps 1000 dex, 10 influenced non eldritch shields, 13 Acclimatisation, bloodseeker, wyrmsign, the writhing jar, sibyl's lament, kingmaker, kill kitava, The Greatest Intentions, sap of the seasons, 5 way 4 unrelenting 3 layers of rewards, 3 forbidden shako, sandstorm visage, 10 The Oath, piece of brutality, 1 fracturing orbs, 134 Emperor's Luck, 20 Saqawine Retch, 200 yellow beasts, 4.5 hour a10 any marauder
forbidden flesh, 3x watcher's eye, 20 maps main skill tagged duration, 250 quant t17 80 deli unique bosses shrined kill tul, 20 ancient orbs, 20 essence constrictor, 6 tainted fusing, The Demon, 11 The Drunken Aristocrat, Full stack The Trial, Full stack Prosperity, 100 delirium orbs, kill kitava, 13 The Mountain, the dancing dervish, 5 transfigured gems that start with F, aegis aurora, 20 essence enslaver, 5 glorious vanity, 20 medium cluster 4 or 5 passive rare, sandstorm visage, rain of splinters, 20 maps with dot main skill, Full stack The Lover, 10 powerful resonator
make a harbinger unique, 5 transfigured gems that start with A, 100 abyss jewels, kingmaker aoe corrupt, 21 A Sea of Blue, oba's cursed trove, doppelganger guise, 3 gold oils, Full stack The Penitent, 4 grasping mail, lioneye's vision, taste of hate, kill kitava, 4 orb of conflict, 100 Stacked Deck, 1 fracturing orbs, 20 maps main skill tagged nova, 20 maps main skill tagged slam, 20 essence purifier, 300 quant t17 full spec ultimatum completed, 13 The Void, the brass dome, void valdo, Full stack Three Voices, blight unique
1 flawless xoph, blight unique, Full stack The Sword King's Salute, defiance of destiny, 8 mod t17, melding of the flesh, 4 hour a10 any templar, heartbound loop, 3 white wind, Blighted Scouting Report, 20 craicic squid, 100 delirium orbs, kill kitava, 5 fairgraves tricorn, oriath's end, 20 maps with cold main skill, harbinger scroll, kill kitava with necromancer, 4 orb of conflict, 83 lycia, Craiceann First of the Deep, goldrim, conquest lamellar 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 pdr t1 chaos 90% divine suffixes perfect divine implicits 28% grace effect 19% aura effect, 10 craicic vassal, 90 quant feared
abyss uniques 24 total abyss sockets, 1 3 mod watcher's eye, dissolution of the flesh, agnerod staff, Full stack Time-Lost Relic, unnatural instinct, 11 Blind Venture, doppelganger guise, 20 maps 2h attack main skill, might of the meek, 20 essence purifier, 20 tainted chrome, kill kitava, 1 of each temple resistance, 300 quant t17 full spec ultimatum completed, 5 transfigured gems that start with C, 4 hour a10 any ranger, 10 craicic vassal, 5 black sun crest, The Insane Cat, 200 tainted armourer's, 200 astragali, brutus' lead sprinkler, 13 The Calling, 20 maps spellslinger main skill
